SIZE ; List time (ns) ; List count ; Matrix time (ns) ; Matrix count
50 ; 165713.000000 ; 4178 ; 168485.000000 ; 4900
50 ; 158812.000000 ; 4178 ; 155957.000000 ; 4900
50 ; 154573.000000 ; 4178 ; 151897.000000 ; 4900
50 ; 152178.000000 ; 4178 ; 147045.000000 ; 4900
50 ; 150980.000000 ; 4178 ; 104239.000000 ; 4900
50 ; 48188.000000 ; 4178 ; 45505.000000 ; 4900
50 ; 48119.000000 ; 4178 ; 45260.000000 ; 4900
50 ; 48623.000000 ; 4178 ; 45172.000000 ; 4900
50 ; 48036.000000 ; 4178 ; 44957.000000 ; 4900
50 ; 47893.000000 ; 4178 ; 45021.000000 ; 4900
50 ; 48469.000000 ; 4178 ; 44941.000000 ; 4900
